Pub_year,Reference,Article title,Region,Location,State,Start_year,Texture,Clay,Sand,Temperature,Precipitation,Duration,Crop,Tillage,Tillage_depth,SOC_Depth,CT,RT,NT,deltaSOC,Change_rate,Change_percent,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn,Deep rip,46,600,139.44,,147.7,8.26,688,0.49,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn,Moldboard plow,25,600,138.79,,147.7,8.91,743,0.53,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn-corn-soybean,Strip tillage,10,600,146.55,,147.87,1.32,110,0.08,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn-corn-soybean,Chisel plow,25,600,139.05,,147.87,8.82,735,0.53,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn-corn-soybean,Deep rip,46,600,146.69,,147.87,1.18,98,0.07,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn-corn-soybean,Moldboard plow,25,600,138.35,,147.87,9.52,793,0.57,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn,Strip tillage,10,600,108.74,,109.15,0.41,34,0.03,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn,Chisel plow,25,600,101.35,,109.15,7.8,650,0.64,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn,Deep rip,46,600,101.64,,109.15,7.51,626,0.62,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn,Moldboard plow,25,600,100.65,,109.15,8.5,708,0.7,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn-corn-soybean,Strip tillage,10,600,108.84,,109.19,0.35,29,0.03,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn-corn-soybean,Chisel plow,25,600,101.04,,109.19,8.15,679,0.67,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn-corn-soybean,Deep rip,46,600,101.33,,109.19,7.86,655,0.65,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Nashua,Iowa,2002,loam,200,150,7.62,963,12,corn-corn-soybean,Moldboard plow,25,600,99.89,,109.19,9.3,775,0.78,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn,Strip tillage,10,600,130.07,,130.79,0.72,60,0.05,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn,Chisel plow,25,600,122.2,,130.79,8.59,716,0.59,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn,Deep rip,46,600,122.82,,130.79,7.97,664,0.54,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn,Moldboard plow,25,600,121.61,,130.79,9.18,765,0.63,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn-corn-soybean,Strip tillage,10,600,129.3,,129.68,0.38,32,0.02,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn-corn-soybean,Chisel plow,25,600,122.8,,129.68,6.88,573,0.47,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn-corn-soybean,Deep rip,46,600,122.91,,129.68,6.77,564,0.46,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Ames,Iowa,2002,clay loam,250,200,8.86,1020,12,corn-corn-soybean,Moldboard plow,25,600,122.86,,129.68,6.82,568,0.46,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn,Strip tillage,10,600,139.84,,140.48,0.64,53,0.04,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn,Chisel plow,25,600,131.86,,140.48,8.62,718,0.54,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn,Deep rip,46,600,132.2,,140.48,8.28,690,0.52,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn,Moldboard plow,25,600,130.87,,140.48,9.61,801,0.61,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn-corn-soybean,Strip tillage,10,600,140.04,,141.18,1.14,95,0.07,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn-corn-soybean,Chisel plow,25,600,131.86,,141.18,9.32,777,0.59,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn-corn-soybean,Deep rip,46,600,132.18,,141.18,9,750,0.57,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Armstrong,Iowa,2002,silty clay loam,350,30,7.55,936,12,corn-corn-soybean,Moldboard plow,25,600,131.26,,141.18,9.92,827,0.63,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn,Strip tillage,10,600,110.51,,111.36,0.85,71,0.06,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn,Chisel plow,25,600,102.2,,111.36,9.16,763,0.75,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn,Deep rip,46,600,102.6,,111.36,8.76,730,0.71,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn,Moldboard plow,25,600,101.78,,111.36,9.58,798,0.78,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn-corn-soybean,Strip tillage,10,600,110.55,,110.73,0.18,15,0.01,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn-corn-soybean,Chisel plow,25,600,101.87,,110.73,8.86,738,0.72,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn-corn-soybean,Deep rip,46,600,102.19,,110.73,8.54,712,0.7,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,McNay,Iowa,2002,silty loam,480,50,9.91,1047,12,corn-corn-soybean,Moldboard plow,25,600,101.44,,110.73,9.29,774,0.76,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn,Strip tillage,10,600,162.55,,163.92,1.37,114,0.07,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn,Chisel plow,25,600,154.52,,163.92,9.4,783,0.51,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn,Deep rip,46,600,155.01,,163.92,8.91,743,0.48,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn,Moldboard plow,25,600,153.36,,163.92,10.56,880,0.57,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn-corn-soybean,Strip tillage,10,600,162.04,,162.9,0.86,72,0.04,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn-corn-soybean,Chisel plow,25,600,154.14,,162.9,8.76,730,0.47,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn-corn-soybean,Deep rip,46,600,155.97,,162.9,6.93,577,0.37,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Crawfordsville,Iowa,2002,silty clay loam,300,40,10.04,1040,12,corn-corn-soybean,Moldboard plow,25,600,153.84,,162.9,9.06,755,0.49,
2019,"Burgos Hernández, Tania D. (57204674518); Slater, Brian K. (7005198767); Tirado Corbalá, Rebecca (36443096600); Shaffer, Jared M. (57197315329)",Assessment of long-term tillage practices on physical properties of two Ohio soils,North,Hoytville,Ohio,1993,Silty clay loam,,,10.7,874,20,corn-soybean,Moldboard plow,250,300,43.6,,50.1,6.5,325,0.75,
2019,"Burgos Hernández, Tania D. (57204674518); Slater, Brian K. (7005198767); Tirado Corbalá, Rebecca (36443096600); Shaffer, Jared M. (57197315329)",Assessment of long-term tillage practices on physical properties of two Ohio soils,North,Wooster,Ohio,1993,Silt loam ,,,9.9,1018,20,corn-soybean,Moldboard plow,250,300,55.2,,50.2,-5,-250,-0.45,
2016,Sainju U.M.,Can novel management practice improve soil and environmental quality and sustain crop yield simultaneously?,North,Nesson Valley,North Dakota,2005,Sandy loam,160,720,4.76,405,6,malt barley-pea,NT - non irrigated,,850,63,,61,-2,-333,-0.53,
2016,Sainju U.M.,Can novel management practice improve soil and environmental quality and sustain crop yield simultaneously?,North,Nesson Valley,North Dakota,2005,Sandy loam,160,720,4.76,405,6,malt barley-pea,NT - irrigated,,850,57,,60,3,500,0.88,
2016,Sainju U.M.,Can novel management practice improve soil and environmental quality and sustain crop yield simultaneously?,North,Sidney,Montana,2006,Loam ,325,350,6.08,340,5,malt barley-pea,NT - non irrigated,,1200,175,,183,8,1600,0.91,
2016,Nakajima T.; Shrestha R.K.; Jacinthe P.-A.; Lal R.; Bilen S.; Dick W.,Soil organic carbon pools in ploughed and no-till Alfisols of central Ohio,North,Mount Gilead,Ohio ,2001,Afisols,220,,10.4,,9,corn-soybean,NT,,300,140,,217,77,8556,6.11,
2016,Nakajima T.; Shrestha R.K.; Jacinthe P.-A.; Lal R.; Bilen S.; Dick W.,Soil organic carbon pools in ploughed and no-till Alfisols of central Ohio,North,Bucyrus,Ohio ,1997,Afisols,200,,10.3,,13,corn-soybean,NT,,300,102,,146,44,3385,3.32,
2016,Nakajima T.; Shrestha R.K.; Jacinthe P.-A.; Lal R.; Bilen S.; Dick W.,Soil organic carbon pools in ploughed and no-till Alfisols of central Ohio,North,Centerbug,Ohio ,1974,Afisols,220,,10.5,,36,corn-soybean,NT,,300,120,,226,106,2944,2.45,
2016,Nakajima T.; Shrestha R.K.; Jacinthe P.-A.; Lal R.; Bilen S.; Dick W.,Soil organic carbon pools in ploughed and no-till Alfisols of central Ohio,North,South Charleston,Ohio ,1962,Afisols,230,,10.8,,48,corn-corn,NT,,300,75,,169,94,1958,2.61,
2016,Nakajima T.; Shrestha R.K.; Jacinthe P.-A.; Lal R.; Bilen S.; Dick W.,Soil organic carbon pools in ploughed and no-till Alfisols of central Ohio,North,Wooster ,Ohio ,1962,Afisols,160,,10.3,,49,corn-corn,NT,,300,122,,149,27,551,0.45,
2014,Al-Kaisi M.M.; Douelle A.; Kwaw-Mensah D.,"Soil microaggregate and macroaggregate decay over, time and soil carbon change as influenced by different tillage systems",North,Ames,Iowa ,2002,Fine loam ,,,,,10,corn-soybean,Deep rip ,460,150,33.21,,44.66,11.45,1145,3.45,
2014,Al-Kaisi M.M.; Douelle A.; Kwaw-Mensah D.,"Soil microaggregate and macroaggregate decay over, time and soil carbon change as influenced by different tillage systems",North,Ames,Iowa ,2002,Fine loam ,,,,,10,corn-soybean,Moldboard plow,250,150,31.83,,44.66,12.83,1283,4.03,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Monmouth,Illinois ,2011,Silty clay loam,,,16,978,13,continuous corn,Chisel plow,250,600,182,,192,10,769,0.42,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Monmouth,Illinois ,2011,Silty clay loam,,,16,978,13,corn-soybean,Chisel plow,250,600,182,,192,10,769,0.42,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Monmouth,Illinois ,2011,Silty clay loam,,,16,978,13,corn-soybean-wheat,Chisel plow,250,600,182,,192,10,769,0.42,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Monmouth,Illinois ,2011,Silty clay loam,,,16,978,13,continuous soybean,Chisel plow,250,600,182,,192,10,769,0.42,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Perry,Illinois ,2011,Silt loam ,,,18,996,14,continuous corn,Chisel plow,250,600,182,,192,10,714,0.39,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Perry,Illinois ,2011,Silt loam ,,,18,996,14,corn-soybean,Chisel plow,250,600,182,,192,10,714,0.39,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Perry,Illinois ,2011,Silt loam ,,,18,996,14,corn-soybean-wheat,Chisel plow,250,600,182,,192,10,714,0.39,
2015,Zuber S.M.; Behnke G.D.; Nafziger E.D.; Villamil M.B.,Crop rotation and tillage effects on soil physical and chemical properties in Illinois,North,Perry,Illinois ,2011,Silt loam ,,,18,996,14,continuous soybean,Chisel plow,250,600,182,,192,10,714,0.39,
2014,Beniston J.W.; Shipitalo M.J.; Lal R.; Dayton E.A.; Hopkins D.W.; Jones F.; Joynes A.; Dungait J.A.J.,Carbon and macronutrient losses during accelerated erosion under different tillage and residue management,North,Coshocton,Ohio,1970,Silt loam,,,10.61,950,42,maize,Mouldboard ploughing ,200,50,6.349,,17.524,11.175,266,4.19,
2014,Beniston J.W.; Shipitalo M.J.; Lal R.; Dayton E.A.; Hopkins D.W.; Jones F.; Joynes A.; Dungait J.A.J.,Carbon and macronutrient losses during accelerated erosion under different tillage and residue management,North,Coshocton,Ohio,1970,Silt loam,,,10.61,950,42,maize,Mouldboard ploughing ,200,50,6.349,,17.237,10.888,259,4.08,
2014,Beniston J.W.; Shipitalo M.J.; Lal R.; Dayton E.A.; Hopkins D.W.; Jones F.; Joynes A.; Dungait J.A.J.,Carbon and macronutrient losses during accelerated erosion under different tillage and residue management,North,Coshocton,Ohio,1970,Silt loam,,,10.61,950,42,maize,Mouldboard ploughing ,200,50,6.349,,11.786,5.437,129,2.04,
2017,NATH A.J.; LAL R.,"Effects of Tillage Practices and Land Use Management on Soil Aggregates and Soil Organic Carbon in the North Appalachian Region, USA",North,Coshocton,Ohio,1970,Silt loam,,,10.61,950,44,corn ,chisel ploughing,200,200,27.04,,44.44,17.4,395,1.46,
2014,Sainju U.M.; Stevens W.B.; Caesar-TonThat T.,"Soil carbon and crop yields affected by irrigation, tillage, cropping system, and nitrogen fertilization",North,Nesson Valley,North Dakota ,2005,Sandy loam ,160,720,4.76,373,6,malt barley (67-134) - irrigated ,Rototiller ,100,850,56.6,,57.2,0.6,100,0.18,
2014,Sainju U.M.; Stevens W.B.; Caesar-TonThat T.,"Soil carbon and crop yields affected by irrigation, tillage, cropping system, and nitrogen fertilization",North,Nesson Valley,North Dakota ,2005,Sandy loam ,160,720,4.76,373,6,malt barley (67-134) - non irrigated,Rototiller ,100,850,71.1,,74.7,3.6,600,0.84,
2014,Sainju U.M.; Stevens W.B.; Caesar-TonThat T.,"Soil carbon and crop yields affected by irrigation, tillage, cropping system, and nitrogen fertilization",North,Nesson Valley,North Dakota ,2005,Sandy loam ,160,720,4.76,373,6,malt barley (0) - irrigated ,Rototiller ,100,850,56.8,,58.9,2.1,350,0.62,
2014,Sainju U.M.; Stevens W.B.; Caesar-TonThat T.,"Soil carbon and crop yields affected by irrigation, tillage, cropping system, and nitrogen fertilization",North,Nesson Valley,North Dakota ,2005,Sandy loam ,160,720,4.76,373,6,malt barley (0) - non irrigated ,Rototiller ,100,850,65.5,,64.7,-0.8,-133,-0.2,
2014,Kumar S.; Nakajima T.; Mbonimpa E.G.; Gautam S.; Somireddy U.R.; Kadono A.; Lal R.; Chintala R.; Rafique R.; Fausey N.,"Long-term tillage and drainage influences on soil organic carbon dynamics, aggregate stability and corn yield",North,Columbus,Ohio,,Silt loam,,,11,1016,18,corn,Chisel plow ,200,600,63.84,,79.99,16.15,897,1.41,
2013,Olson K.R.; Ebelhar S.A.; Lang J.M.,Effects of 24 years of conservation tillage systems on soil organic carbon and soil productivity,North,Simpsons,Southern Illinois ,1988,Silt loam ,,,13.85,,24,corn-soybean,Chisel plow-disking,200,750,42,,50.9,8.9,371,0.88,
2013,Olson K.R.; Ebelhar S.A.; Lang J.M.,Effects of 24 years of conservation tillage systems on soil organic carbon and soil productivity,North,Simpsons,Southern Illinois ,1988,Silt loam ,,,13.85,,24,corn-soybean,Moldboard plow- disking,200,750,43.1,,50.9,7.8,325,0.75,
2013,Awale R.; Chatterjee A.; Franzen D.,Tillage and N-fertilizer influences on selected organic carbon fractions in a North Dakota silty clay soil,North,Fargo,North Dakota,2008,Silty clay ,516,26,4.61,,4,corn-soybean-sugarbeet,Chisel plow,150,150,58.32,,61.57,3.25,813,1.39,
2013,Awale R.; Chatterjee A.; Franzen D.,Tillage and N-fertilizer influences on selected organic carbon fractions in a North Dakota silty clay soil,North,Fargo,North Dakota,2008,Silty clay ,516,26,4.61,,4,corn-soybean-sugarbeet,"Strip-till, Chisel plow","150,150",150,,58.75,61.57,2.82,705,1.2,
2013,Awale R.; Chatterjee A.; Franzen D.,Tillage and N-fertilizer influences on selected organic carbon fractions in a North Dakota silty clay soil,North,Fargo,North Dakota,2005,Silty clay ,513,21,5.2,,6,corn-soybean-sugarbeet,Chisel plow,150,150,56.8,,62.22,5.42,903,1.59,
2013,Awale R.; Chatterjee A.; Franzen D.,Tillage and N-fertilizer influences on selected organic carbon fractions in a North Dakota silty clay soil,North,Fargo,North Dakota,2005,Silty clay ,513,21,5.2,,6,corn-soybean-sugarbeet,"Strip-till, Chisel plow","150,150",150,,61.14,62.22,1.08,180,0.29,
2013,Awale R.; Chatterjee A.; Franzen D.,Tillage and N-fertilizer influences on selected organic carbon fractions in a North Dakota silty clay soil,North,Fargo,North Dakota,2005,Silty clay ,500,23,5.2,,6,corn-soybean-sugarbeet,Chisel plow,150,150,53.98,,58.54,4.56,760,1.41,
2013,Awale R.; Chatterjee A.; Franzen D.,Tillage and N-fertilizer influences on selected organic carbon fractions in a North Dakota silty clay soil,North,Fargo,North Dakota,2005,Silty clay ,500,23,5.2,,6,corn-soybean-sugarbeet,"Strip-till, Chisel plow","150,150",150,,60.27,58.54,-1.73,-288,-0.48,
2012,Kumar S.; Kadono A.; Lal R.; Dick W.,Long-term no-till impacts on organic carbon and properties of two contrasting soils and corn yields in Ohio,North,Wooster,Ohio,1962,Silt loam ,,,9.1,905,49,corn-soybean ,Moldboard plowing,250,400,47.73,,51.34,3.61,74,0.15,
2012,Kumar S.; Kadono A.; Lal R.; Dick W.,Long-term no-till impacts on organic carbon and properties of two contrasting soils and corn yields in Ohio,North,Hoytville,Ohio,1964,Clay loam ,,,9.9,845,47,corn-soybean ,Moldboard plowing,250,400,57.15,,64.4,7.25,154,0.27,
2011,Sainju U.M.; Lenssen A.W.; Caesar-TonThat T.; Jabro J.D.; Lartey R.T.; Evans R.G.; Allen B.L.,"Dryland residue and soil organic matter as influenced by tillage, crop rotation, and cultural practice",North,Sidney,Montana,2004,Loam,325,350,6.75,306.75,4,continuous wheat,Conventional,80,200,37.2,,34.5,-2.7,-675,-1.81,
2011,Sainju U.M.; Lenssen A.W.; Caesar-TonThat T.; Jabro J.D.; Lartey R.T.; Evans R.G.; Allen B.L.,"Dryland residue and soil organic matter as influenced by tillage, crop rotation, and cultural practice",North,Sidney,Montana,2004,Loam,325,350,6.75,306.75,4,wheat-pea,Conventional,80,200,36.8,,33.5,-3.3,-825,-2.24,
2011,Sainju U.M.; Lenssen A.W.; Caesar-TonThat T.; Jabro J.D.; Lartey R.T.; Evans R.G.; Allen B.L.,"Dryland residue and soil organic matter as influenced by tillage, crop rotation, and cultural practice",North,Sidney,Montana,2004,Loam,325,350,6.75,306.75,4,wheat-barley hay-pea,Conventional,80,200,38.2,,33.8,-4.4,-1100,-2.88,
2011,Sainju U.M.; Lenssen A.W.; Caesar-TonThat T.; Jabro J.D.; Lartey R.T.; Evans R.G.; Allen B.L.,"Dryland residue and soil organic matter as influenced by tillage, crop rotation, and cultural practice",North,Sidney,Montana,2004,Loam,325,350,6.75,306.75,4,wheat-barley hay-corn-pea,Conventional,80,200,36.1,,34.7,-1.4,-350,-0.97,
